index,name,ext,ext_err,ra,dec,l,b,p_err(95\%)
82,J1813-1750,0.010,0.139,273.429,-17.881,12.788,-0.070,0.063
83,J1831-0949,0.260,0.021,277.825,-9.872,21.861,-0.070,0.059
84,J2022+3654,0.152,0.013,305.502,36.898,75.364,-0.013,0.030
85,J0304+5820,0.153,0.918,46.312,58.434,139.704,-0.011,0.597
86,J1906+0722,0.384,0.025,286.571,7.231,41.056,0.014,0.076
87,J1844-0330,0.402,0.010,281.055,-3.467,29.024,0.023,0.032
88,J1839-0553,0.229,0.011,279.807,-5.879,26.310,0.025,0.031
89,J1858+0330,0.508,0.025,284.659,3.575,36.934,0.031,0.078
90,J1830-1018,1.140,0.068,277.532,-10.203,21.435,0.032,0.181
91,J1850-0014,0.553,0.016,282.734,-0.166,32.727,0.036,0.052
92,J1932+1919,0.082,0.037,293.142,19.292,54.701,0.040,0.057
93,J1925+1611,0.234,0.075,291.323,16.166,51.126,0.066,0.162
94,J1809-1918,0.164,0.024,272.451,-19.275,11.120,0.072,0.063
95,J1853+0105,0.404,0.038,283.354,1.184,34.211,0.100,0.099
96,J1908+0816,0.196,0.071,287.004,8.278,42.182,0.114,0.162
97,J1928+1756,0.248,0.013,292.234,17.933,53.095,0.142,0.037
98,J1955+2905,0.713,0.043,299.076,28.869,65.698,0.143,0.156
99,J1814-1712,0.680,0.039,273.586,-17.098,13.548,0.173,0.120
100,J1919+1340,0.010,0.990,289.804,13.707,48.267,0.201,0.356
101,J1912+1013,0.303,0.064,288.071,10.499,44.639,0.206,0.150
102,J1914+1149,0.164,0.016,288.733,11.801,46.093,0.235,0.039
103,J1930+1852,0.010,0.022,292.637,18.873,54.104,0.257,0.045
104,J1901+0603,0.534,0.052,285.612,6.039,39.559,0.313,0.164
105,J2019+3648,0.000,0.000,304.862,36.794,74.988,0.349,0.016
106,J2040+4207,0.542,0.073,310.014,42.269,81.751,0.352,0.192
107,J0631+1037,0.262,0.023,97.772,10.611,201.183,0.366,0.058
108,J1954+2838,0.048,0.022,298.526,28.634,65.248,0.435,0.031
109,J2017+3645,1.222,0.099,304.531,36.558,74.644,0.436,0.341
110,J2237+5855,0.528,0.013,339.519,58.981,106.479,0.437,0.042
111,J2018+3643,0.354,0.007,304.648,36.750,74.855,0.466,0.023
112,J2031+4008,0.434,0.029,308.053,40.552,79.494,0.493,0.096
113,J1849+0001,0.036,0.022,282.310,0.019,32.699,0.497,0.042
114,J2000+3014,0.329,0.065,299.710,30.474,67.355,0.510,0.169
115,J1942+2415,0.569,0.024,295.516,24.214,60.071,0.525,0.087
116,J0248+6018,0.854,0.093,41.967,60.368,136.849,0.681,0.220
117,J2048+4436,0.074,0.042,311.976,44.623,84.481,0.691,0.070
118,J1925+1731,0.369,0.026,291.353,17.553,52.362,0.699,0.077
119,J1907+0912,0.296,0.052,286.777,9.170,42.871,0.724,0.113
120,J0358+5412,0.390,0.024,59.764,54.129,148.267,0.757,0.064
121,J1928+1852,0.248,0.010,291.992,18.833,53.776,0.774,0.030
122,J1902+0652,0.120,0.059,285.524,6.905,40.289,0.788,0.095
123,J1838-0357,0.326,0.066,279.808,-3.990,27.990,0.890,0.145
124,J2013+3610,0.000,0.000,303.383,36.160,73.798,0.981,0.100
125,J2002+3241,0.052,0.032,300.624,32.702,69.659,1.023,0.046
126,J0055+6354,0.372,0.027,13.886,63.894,123.384,1.026,0.084
127,J0240+6119,0.061,0.052,40.082,61.278,135.633,1.120,0.076
128,J2016+3712,0.000,0.000,304.017,37.199,74.944,1.135,0.075
129,J1841-0213,0.091,0.053,280.429,-2.217,29.850,1.150,0.010
130,J2031+4129,0.270,0.005,307.898,41.563,80.240,1.186,0.019
131,J1919+1558,0.410,0.029,289.849,15.915,50.237,1.196,0.092
132,J1952+2925,0.169,0.020,298.061,29.450,65.739,1.202,0.046
133,J2007+3352,0.725,0.024,301.469,34.200,71.302,1.226,0.079
134,J2201+5644,0.530,0.023,330.173,56.722,101.087,1.275,0.062
135,J2229+5927,1.234,0.057,335.740,58.842,104.732,1.320,0.184
136,J2042+4410,0.603,0.070,310.420,44.265,83.510,1.340,0.266
137,J1855+0510,0.010,0.685,283.966,5.223,38.085,1.398,0.176
138,J1912+1326,0.251,0.066,288.173,13.341,47.204,1.434,0.126
139,J2121+5210,0.961,0.173,320.839,52.239,94.061,1.439,0.631
140,J2026+4035,0.260,0.067,306.474,40.631,78.856,1.511,0.151
141,J0534+3533,0.370,0.017,83.617,35.562,173.134,1.524,0.073
142,J1932+2217,0.072,0.112,293.005,22.284,57.260,1.595,0.080
143,J2022+3939,0.094,0.045,305.442,39.731,77.666,1.640,0.081
144,J0130+6347,0.761,0.217,22.065,64.258,126.918,1.672,0.673
145,J2030+4226,0.279,0.021,307.739,42.225,80.705,1.672,0.075
146,J0500+4458,0.576,0.033,75.180,44.979,161.739,1.712,0.129
147,J1935+2408,0.010,0.973,293.803,24.185,59.280,1.874,0.144
148,J2024+4104,2.362,0.048,306.218,41.073,79.105,1.924,0.161
149,J1857+0751,0.144,0.057,284.465,7.867,40.665,2.161,0.088
150,J2246+6130,0.432,0.056,341.270,61.546,108.468,2.275,0.167
151,J1813-1252,0.272,0.029,273.388,-12.833,17.204,2.379,0.084
152,J0639+1117,0.631,0.191,99.764,11.218,201.543,2.382,0.463
153,J2020+4027,0.322,0.012,304.967,40.583,78.162,2.423,0.035
154,J1954+3257,0.200,0.018,298.645,32.903,68.960,2.546,0.051
155,J2339+6426,0.172,0.071,354.525,64.391,115.109,2.639,0.202
156,J2227+6101_3,0.159,0.013,336.748,60.913,106.262,2.805,0.030
157,J2227+6101,0.576,0.014,337.048,61.008,106.437,2.810,0.047
158,J2107+5157,0.184,0.009,317.097,51.934,92.243,2.881,0.025
159,J1957+3519,0.671,0.081,299.915,35.328,71.581,2.906,0.233
160,J2227+6101_1,0.092,0.022,337.295,61.259,106.669,2.963,0.044
161,J0617+2226,0.000,0.000,94.298,22.452,189.156,2.963,0.051
162,J2054+4943,0.332,0.103,313.695,49.797,89.217,3.084,0.287
163,J0617+2236,0.775,0.132,94.381,22.604,189.057,3.102,0.122
164,J2019+4213,0.110,0.089,304.796,42.260,79.478,3.473,0.171
165,J2158+5856,0.358,0.071,328.823,58.991,101.907,3.509,0.206
166,J0428+5436,0.263,0.031,66.676,54.515,150.938,3.801,0.087
167,J0634+1732,0.500,0.033,98.559,17.530,195.384,4.227,0.111
168,Geminga,8.000,0.000,98.480,17.770,195.136,4.269,0.010
169,J0427+5541,1.293,0.090,67.034,55.499,150.368,4.630,0.119
170,J1949+3608,0.010,0.704,297.439,36.144,71.250,5.050,0.010
171,J1847+0917,0.851,0.108,281.919,9.332,40.833,5.069,0.306
172,J0642+1712,0.882,0.078,100.513,17.157,196.566,5.722,0.262
173,J0003+6812,0.010,0.112,0.779,68.253,118.462,5.802,0.210
174,J2039+5205,0.010,0.129,310.005,52.095,89.562,6.334,0.118
175,Monogem,5.000,0.000,104.950,14.240,201.107,8.258,0.010
176,J0052+7237,0.010,0.157,13.222,72.560,123.042,9.689,0.144
177,J1820+0722,0.010,0.673,275.243,7.381,36.099,10.111,0.124
178,J0007+7306,0.238,0.013,1.769,73.104,119.672,10.513,0.041
179,J0711+1342,1.332,0.040,107.800,13.711,202.810,10.518,0.346
180,J0622+3755,0.455,0.018,95.521,37.927,175.772,10.988,0.050
181,J1959+6507,0.096,0.002,299.967,65.122,97.972,17.670,0.012
182,J1740+0948,0.116,0.005,265.040,9.814,33.799,20.248,0.047
183,J1744+1933,0.010,0.653,266.010,19.564,43.820,23.314,0.116
184,J1728+5011,0.113,0.005,262.036,50.188,77.028,33.562,0.051
185,J1653+3943,0.026,0.018,253.455,39.733,63.564,38.866,0.014
186,J0956+4622,0.295,0.057,149.214,46.377,171.748,50.751,0.171
187,J1428+4238,0.010,0.695,217.116,42.639,77.437,64.928,0.100
188,J1104+3810,0.010,0.003,166.095,38.173,179.923,65.028,0.011
189,J1230+1223,0.010,0.129,187.716,12.394,283.810,74.496,0.068
